input,mode,class,operation,ashlar_ns,jpeg_decoder_ns,zune_ns,ashlar_error,jpeg_decoder_error,zune_error,fastest
"repo/grayscale_8x8",gray,bounded_full_frame,inspect,644,5823,24632,"","","",ashlar
"repo/grayscale_8x8",gray,bounded_full_frame,decode_gray,5332,30367,27973,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,inspect,925,10546,46153,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,decode_rgb,33304,90067,97754,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_rgb,33519,89667,99898,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_scaled_rgb_q4,13474,96609,99359,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_scaled_rgb_q8,9791,85093,95625,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_scaled_rgb_q4,13447,87156,98291,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_scaled_rgb_q8,9390,86552,104729,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_tile_batch_scaled_rgb_q4,1346167,5626750,6386750,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_tile_batch_region_scaled_rgb_q4,1347875,5715750,6474833,"","","",ashlar
